customer_id,avg_spend,total_rev,tenure,churned,churn_probability
user_0001,99.0,396.0,18,1,1.0
user_0003,99.0,99.0,81,1,1.0
user_0004,119.67999999999999,1077.12,48,1,1.0
user_0005,99.0,99.0,9,1,1.0
user_0006,118.8,594.0,77,1,1.0
user_0008,99.0,693.0,40,1,1.0
user_0010,99.0,396.0,88,1,1.0
user_0011,102.96,514.8,121,1,1.0
user_0013,99.0,198.0,2,1,1.0
user_0015,99.0,396.0,48,1,1.0
user_0017,108.9,217.8,30,1,1.0
user_0019,99.0,198.0,121,1,1.0
user_0020,105.60000000000001,633.6,108,1,1.0
user_0021,99.0,99.0,-112,1,1.0
user_0022,112.2,336.6,8,1,1.0
user_0023,112.36500000000001,898.9200000000001,120,1,1.0
user_0024,118.8,237.6,2,1,1.0
user_0025,500.0,2000.0,70,1,1.0
user_0026,133.05599999999998,665.28,21,1,1.0
user_0027,99.0,594.0,120,1,1.0
user_0029,118.8,237.6,121,1,1.0
user_0030,99.0,495.0,5,1,1.0
user_0031,99.0,99.0,81,1,1.0
user_0032,110.31428571428572,772.2,96,1,1.0
user_0035,99.0,297.0,8,1,1.0
user_0036,113.08,1017.72,72,1,1.0
user_0037,107.80000000000001,970.2,84,1,1.0
user_0038,500.0,2500.0,108,1,1.0
user_0041,99.0,396.0,54,1,1.0
user_0042,99.0,198.0,12,1,1.0
user_0043,102.3,613.8,14,1,1.0
user_0044,99.0,495.0,60,1,1.0
user_0045,99.0,495.0,12,1,1.0
user_0046,108.9,435.6,88,1,1.0
user_0047,99.0,693.0,121,1,1.0
user_0048,99.0,198.0,30,1,1.0
user_0049,99.0,99.0,121,1,1.0
user_0050,99.0,99.0,25,1,1.0
user_0051,99.0,1287.0,13,1,1.0
user_0052,99.0,99.0,121,1,1.0
user_0053,99.0,396.0,54,1,1.0
user_0054,118.80000000000001,1069.2,108,1,1.0
user_0055,118.8,237.6,2,1,1.0
user_0056,108.9,217.8,12,1,1.0
user_0057,99.0,198.0,121,1,1.0
user_0058,600.0,1200.0,2,1,1.0
user_0059,99.0,693.0,96,1,1.0
user_0060,127.38,1528.56,108,1,1.0
user_0061,99.0,1188.0,132,1,1.0
user_0062,99.0,1980.0,30,1,1.0
user_0063,99.0,99.0,1,1,1.0
user_0068,99.0,99.0,9,1,1.0
user_0069,99.0,495.0,108,1,1.0
user_0071,112.2,336.6,8,1,1.0
user_0072,99.0,396.0,70,1,1.0
user_0073,99.0,297.0,15,1,1.0
user_0074,113.85,455.4,10,1,1.0
user_0075,99.0,693.0,16,1,1.0
user_0076,99.0,198.0,24,1,1.0
user_0077,108.9,217.8,2,1,1.0
user_0078,118.8,594.0,5,1,1.0
user_0079,99.0,396.0,4,1,1.0
user_0080,118.8,118.8,4,1,1.0
user_0082,99.0,198.0,90,1,1.0
user_0084,99.0,198.0,56,1,1.0
user_0086,99.0,99.0,64,1,1.0
user_0088,105.60000000000001,633.6,66,1,1.0
user_0089,99.0,198.0,56,1,1.0
user_0090,99.0,396.0,18,1,1.0
user_0092,99.0,495.0,60,1,1.0
user_0097,116.82000000000001,1168.2,84,1,1.0
user_0099,109.66153846153846,1425.6,84,1,1.0
user_0100,105.60000000000001,316.8,63,1,1.0
user_0101,99.0,297.0,80,1,1.0
user_0102,99.0,198.0,24,1,1.0
user_0103,99.0,99.0,1,1,1.0
user_0104,99.0,198.0,6,1,1.0
user_0105,124.08,744.48,120,1,1.0
user_0106,99.0,99.0,4,1,1.0
user_0109,99.0,495.0,77,1,1.0
user_0110,107.48571428571428,752.4,7,1,1.0
user_0111,99.0,891.0,20,1,1.0
user_0112,99.0,198.0,42,1,1.0
user_0113,113.85000000000001,1366.2,12,1,1.0
user_0114,118.512,1303.632,120,1,1.0
user_0115,113.4,1247.4,36,1,1.0
user_0116,108.9,217.8,24,1,1.0
user_0117,99.0,198.0,121,1,1.0
user_0118,99.0,99.0,1,1,1.0
user_0119,99.0,495.0,60,1,1.0
user_0121,115.5,693.0,50,1,1.0
user_0122,617.7777777777778,5560.0,33,1,1.0
user_0123,99.0,297.0,35,1,1.0
user_0124,120.38400000000001,601.9200000000001,21,1,1.0
user_0125,99.0,495.0,5,1,1.0
user_0127,99.0,198.0,6,1,1.0
user_0128,99.0,297.0,120,1,1.0
user_0129,500.0,500.0,1,1,1.0
user_0130,136.4502857142857,955.152,108,1,1.0
user_0131,99.0,693.0,96,1,1.0
user_0132,99.0,396.0,10,1,1.0
